MAICD,disease_group_id,report_group_code,disease_group_name
I80,161,I80-I82,"Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis"
I83,162,I83,Dẫn tĩnh mạch chi dưới - Varicose veins of lower extremities
I50,151,I50,Suy tim - Heart failure
I60,153,I60-I62,Chảy máu não - Intracerebral haemorrhage
I63,154,I63,Nhồi máu não - Cerebral infarction
I64,155,I64,"Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction"
I70,157,I70,Xơ vữa động mạch - Atherosclerosis
J01.2,167,"J00-J01,J05-J06",Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections
J39.3,174,J36-J39,Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract
J40,175,J40-J44,"Viêm phế quản tràn khí và các bệnh phổi tắc nghẽn mạn tính - Bronchitis, emphysema and other chronic obstructive diseases"
J45,176,J45-J46,Hen - Asthma
J47,177,J47,Giãn phế quản - Bronchiectasis
J60,178,J60,Bệnh phổi không do phế cầu khuẩn - Pneumoconiosis
J20,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis
J32,171,J32,Viêm xoang mạn tính - Chronic sinusitis
J30,172,"J30-J31,J33-J34",Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses
J35,173,J35,Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids
J02,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis
J04,166,J04,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis"
K50,189,K50-K51,Bệnh Crohn (viêm ruột non từng vùng) và viêm loét đại tràng - Crohn’s disease and ulcerative colitis
K56,190,K56,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia"
K57,191,K57,Bệnh túi thừa của ruột non - Diverticular disease of intestine
K52,192,"K52-K55,K58-K67",Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum
K00,181,"K03-K08,K00-K01",Tổn thương khác liên quan đến răng và mô quanh răng - Other disorders of teeth and supporting structures
K09,182,K09-K14,"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws"
K25,183,K25-K27,Loét dạ dày và tá tràng - Gastric and duodenal ulcer
K29,184,K29,Viêm dạ dày và tá tràng - Gastritis and duodenitis
K40,187,K40,Thoát vị bẹn - Inguinal hernia
Q98.8,266,Q90-Q99,"Dị thường nhiễm sắc thể, chưa xếp ở chỗ khác - Chromosomal abnormalities, not elsewhere sclassified"
R10,267,R10,Đau bụng và khung chậu - Abdominal and pelvic pain
R50,268,R50,Sốt không rõ nguyên nhân - Fever of unknown origin
R54,269,R54,Lão suy - Senility
R00,270,"R00-R09,R11-R49,R51-R53,R55-R99","Các triệu chứng, dấu hiệu và kết quả bất thường về khám lâm sàng và xét nghiệm khác, chưa xếp ở chỗ khác - Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
S08.9,280,"S07-S08,S17-S18,S28,S38,S47-S48,S57-S58,S67-S68,S77-S78,S87-S88,S97-S98,T04-T05",Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones
T01.2,281,"S00-S01,S04,S09-S11,S14-S16,S19-S21,S24-S25,S29-S31,S34-S35,S39-S41,S44-S46,S49-S51,S54-S56,S59-S61,S64-S66,S69-S71,S74-S76,S79-S81,S84-S86,S89-S91,S94-S96,S99-T01,T06-T07,T09,T13-T14","Các tổn thương khác do chấn thương xác định và ở nhiều nơi - Other injuries of specified, unspecified and multiple body regions"
Q28.3,256,Q20-Q28,Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system
Q35,257,Q35-Q37,Sứt môi và hở hàm ếch - Cleft lip and cleft palate
Q41,258,Q41,"Không có, tịt hoặc hẹp ruột non - Absence, atresia and stenosis of small intestine"
Q38,259,"Q38-Q40,Q42-Q45",Dị tật bẩm sinh khác của bộ máy sinh dục tiết niệu - Other malformations of the genitourinary system
T15,282,T15-T19,Hậu quả do dị vật vào hốc tự nhiên - Effects of foreign body entert hrough natural orifice
T20,283,T20-T32,Bỏng và sự ăn mòn - Burnss and corrosions
Q53,260,Q53,Tinh hoàn lạc chỗ - Undescended testicle
Q50,261,"Q50-Q52,Q54-Q64",Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs
Q65,262,Q65,Dị dạng bẩm sinh hông - Congenital deformities of hip
Q66,263,Q66,Dị dạng bẩm sinh bàn chân - Congenital deformities of feet
Q67,264,Q67-Q79,Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system
P37.9,250,P35-P37,Nhiễm khuẩn và kí sinh vật bẩm sinh - Congenital infectious and parasitic diseases
P38,251,P38-P39,Nhiễm khuẩn đặc hiệu khác thời kỳ chu sinh - Other infectious specific to the perinatal period
P55,252,P55,Bệnh tan máu của thai và sơ sinh - Haemolytic disease of fetus and newborn.
P08,253,"P08,P29,P50-P54,P56-P96",Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period
S02,271,S02,Vỡ xương sọ và các xương mặt - Fracture of skull and facial bones
Q10,265,"Q10-Q18,Q30-Q34,Q80-Q89",Dị dạng bẩm sinh khác - Other congenital malformations
S12,272,"S12,S22,S32,T08","Gãy xương cổ, ngực, khung chậu - Fracture of neck, thorax or pelvis."
S72,273,S72,Gãy xương đùi - Fracture of femur
S42,274,"S42,S52,S62,S82,S92,T10,T12",Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones
T02,275,T02,Gãy nhiều xương của cơ thể do lao động và giao thông - Fractures involving multiple body regions
S03,276,"S03,S13,S23,S33,S43,S53,S63,S73,S83,S93,T03","Sai khớp, bong gân, tổn thương khu trú và ở nhiều vùng cơ thể - Dislocations, sprains and strains of specified and multiple body regions"
Q05,254,Q05,Gai đôi cột sống - Spina bifida
Q00,255,"Q00-Q04,Q06-Q07",Dị tật bẩm sinh khác của hệ thần kinh - Other congenital malforma
S05,277,S05,Thương tổn do chấn thương ở mắt và hốc mắt - Injury of eye and orbit
S06,278,S06,Thương tổn do chấn thương trong sọ - Intracranial injury
S26,279,"S26-S27,S36-S37",Thương tổn do chấn thương các nội tạng khác - Injury of other internal organs
M75.9,207,M60-M79,Tổn thương các mô mềm - Soft tissue disorders
N99.1,233,"N82,N84-N90,N93-N94,N96,N98-N99",Bệnh khác của bộ máy sinh dục tiết niệu - Other disorders of genitourinary tract
O03,234,O03,Xẩy thai tự nhiên - Spontaneous abortion
O04,235,O04,Xẩy thai do can thiệp y tế - Medical abortion
O00,236,"O00-O02,O05-O08",Xẩy thai khác - Other pregnancies with abortive outcome
P00.6,245,P00-P04,"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
L63,199,L10-L99,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue
M86,209,M86,Viêm xương tuỷ - Osteomyelitis
M87,210,M87-M99,"Bệnh khác của hệ xương khớp, cơ và mô liên kết - Other diseases of the musculo-skeletal system and connective tissue"
O10,237,O10-O16,"Phù nề, protein-niệu, tăng huyết áp, rối loạn thai nghén, đẻ và sau đẻ - Oedema,proteinuria, hyper- tensive disorders in pregnancy, childbirth and the puerperium"
P05,246,P05-P07,"Thai chậm phát triển, suy dinh dưỡng, rối loạn gắn liền với thai nghén và cân nặng không đủ khi sinh - Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight"
P10,247,P10-P15,Các chấn thương sản khoa - Birth trauma
K77.0,194,K71-K77,Các bệnh khác của gan - Other diseases of liver
O44,238,O44-O46,"Rau tiền đạo, rau bong sớm (U máu sau rau) và chảy máu trước khi đẻ - Placeta praevia, premature separation of placenta and antepartum haemorrhage"
O30,239,"O30-O43,O47-O48","Chăm sóc khác cho người mẹ liên quan đến thai, buồng ối và những vấn đề có thể xảy ra do đẻ - Other maternal care related to fetus and amniotic cavity and possible delivery problems"
P20,248,P20-P21,Thiếu ô xy trong tử cung và trong đẻ - Intrauterine hypoxis and birth asphyxia
P22,249,P22-P28,Các tổn thương hô hấp đặc hiệu khác của thời kỳ chu sinh - Other respiratory disorders originating in the perinatal period
N00,211,N00-N01,Hội chứng viêm thận cấp và tiến triển nhanh - Acute and rapidly prograssive nephritis syndromes
N02,212,N02-N08,Bệnh cầu thận khác - Other glomerular diseases
M05,200,M05-M14,"Viêm khớp dạng thấp và viêm khớp khác - Rheumatoid arthritis, other inflamatory polyarthropaties"
N10,213,N10-N16,Bệnh ống thận kẽ - Renal tubulo-interstitial diseases
N17,214,N17-N19,Suy thận - Renal failure
N20,215,N20-N23,Sỏi tiết niệu - Urolithiasis
O64,240,O64-O66,Đẻ khó do cản trở (vật chướng ngại) - Obstructed labour
M15,201,M15-M19,Bệnh thoái hoá khớp - Arthrosis
N30,216,N30,Viêm bàng quang - Cystitis
N25,217,"N25-N29,N31-N39",Bệnh khác của bộ máy tiết niệu - Other diseases of the urnary system
K85.0,196,K85-K86,Viêm tuỵ cấp và bệnh khác của tuỵ - Acute pancreatitis and other diseases of pancreas
O72,241,O72,Chảy máu sau đẻ - Postpartum haemorrhage
O20,242,"O20-O29,O60-O63,O67-O71,O73-O75,O81-O84",Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery
K70,193,K70,Bệnh gan do rượu - Alcoholic liver disease
M20,202,M20-M21,Biến dạng các chi mắc phải - Accquired deformities of limbs
K80,195,K80-K81,Sỏi mật và viêm túi mật - Cholelithiasis and cholecystitis
N40,218,N40,Quá sản tuyến tiền liệt - Hyperplasia of prostate
N41,219,N41-N42,Tổn thương khác của tuyến tiền liệt - Other disorders of prostate
N43,220,N43,"Tràn dịch tinh mạc, u nang tinh dịch - Hydrocele and spermatocele"
N47,221,N47,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis"
N48,222,"N44-N46,N48,N49-N51",Bệnh khác của cơ quan sinh dục nam - Other diseases of male genital organs
M30,204,M30-M36,Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders
N60,223,N60-N64,Tổn thương của vú - Disorders of breast
L00,198,L00-L08,Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue
M50,205,M50-M51,Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders
N70,224,N70,Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis
N72,225,N72,Viêm nhiễm cổ tử cung - Inflamatory disease of cervix uteri
