disease_target,age_group,target_year,target_month_num,target_season,target_month_sin,target_month_cos,lag_1,lag_2,lag_3,lag_4,lag_5,rolling_3,rolling_5,change_1,last_completed_period,forecast_period,previous_cases,predicted_cases,trend,risk_level,change_percent
Người tiếp xúc với các dịch vụ y tế làm các khám xét và điều tra - Person encountering health services for examination and investigation,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Suy dinh dưỡng - Malnutrition,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Suy dinh dưỡng - Malnutrition,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Suy dinh dưỡng - Malnutrition,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Suy dinh dưỡng - Malnutrition,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Suy tim - Heart failure,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Sởi - Measles,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Sởi - Measles,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Sởi - Measles,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Sởi - Measles,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Sứt môi và hở hàm ếch - Cleft lip and cleft palate,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thiếu máu do thiếu sắt - Iron deficiency anaemia,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thiếu máu khác - Other anaemias,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thiếu máu khác - Other anaemias,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thiếu máu khác - Other anaemias,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thiếu máu khác - Other anaemias,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thoát vị bẹn - Inguinal hernia,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thuỷ đậu và zôna - Varicella and Zoster,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,3,1,2,0,1.3333333333333333,1.2,-3,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Thuỷ đậu và zôna - Varicella and Zoster,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,2,2,1,0.6666666666666666,1.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Tổn thương các mô mềm - Soft tissue disorders,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Tổn thương các mô mềm - Soft tissue disorders,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Tổn thương các mô mềm - Soft tissue disorders,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Tổn thương các mô mềm - Soft tissue disorders,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Tổn thương các mô mềm - Soft tissue disorders,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U buồng trứng lành - Benign neoplasm of ovary,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U buồng trứng lành - Benign neoplasm of ovary,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U buồng trứng lành - Benign neoplasm of ovary,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U buồng trứng lành - Benign neoplasm of ovary,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U buồng trứng lành - Benign neoplasm of ovary,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U vú lành - Benign neoplasm of breast,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U ác các phần khác và không xác định của tử cung - Malignant neoplasms of other and unspecified parts of uterus,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U ác khác của đường tiết niệu - Other malignant neoplasms of uterinary tract,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
U ác mạc treo và các mô mềm - Malignantneoplasms of mesothelial and soft tissue,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm bàng quang - Cystitis,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm bàng quang - Cystitis,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm bàng quang - Cystitis,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,1,1,1,2,0.6666666666666666,1.0,-1,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,3,2,0,2,1.6666666666666667,1.4,-3,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm não Virut - Viral encephalitis,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Viêm não Virut - Viral encephalitis,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Động kinh - Epilepsy,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,1,0,1,0,0.3333333333333333,0.4,-1,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,24,10,5,15,14,13.0,13.6,14,2026-05,2026-06,24,17,Giảm,Thấp,-29.17
"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,12,6,13,8,9,10.333333333333334,9.6,6,2026-05,2026-06,12,12,Ổn định,Thấp,0.0
Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,12,5,3,7,6,6.666666666666667,6.6,7,2026-05,2026-06,12,8,Giảm mạnh,Thấp,-33.33
"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,2,5,1,3,4,2.6666666666666665,3.0,-3,2026-05,2026-06,2,4,Tăng mạnh,Thấp,100.0
Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,5,3,3,7,6,3.6666666666666665,4.8,2,2026-05,2026-06,5,4,Giảm,Thấp,-20.0
Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,7,1,2,6,1,3.3333333333333335,3.4,6,2026-05,2026-06,7,4,Giảm mạnh,Thấp,-42.86
Cúm - Influenza,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,3,4,9,5,5,5.333333333333333,5.2,-1,2026-05,2026-06,3,4,Tăng mạnh,Thấp,33.33
Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,3,5,3,3,4,3.6666666666666665,3.6,-2,2026-05,2026-06,3,4,Tăng mạnh,Thấp,33.33
