period,year,month_num,season,disease_target,age_group,case_count
2022-02,2022,2,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",D??i 1 tu?i,5
2022-03,2022,3,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,1-5 tu?i,6
2022-03,2022,3,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,6-10 tu?i,6
2022-03,2022,3,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1-5 tu?i,2
2022-03,2022,3,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",6-10 tu?i,1
2022-03,2022,3,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",D??i 1 tu?i,1
2022-03,2022,3,Mùa khô,Bệnh virut khác - Other viral diseases,1-5 tu?i,22
2022-03,2022,3,Mùa khô,Bệnh virut khác - Other viral diseases,11-15 tu?i,1
2022-03,2022,3,Mùa khô,Bệnh virut khác - Other viral diseases,6-10 tu?i,2
2022-03,2022,3,Mùa khô,Bệnh virut khác - Other viral diseases,D??i 1 tu?i,12
2022-03,2022,3,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1-5 tu?i,6
2022-03,2022,3,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,6-10 tu?i,1
2022-03,2022,3,Mùa khô,Các bệnh viêm phổi - Pneumonia,1-5 tu?i,14
2022-03,2022,3,Mùa khô,Các bệnh viêm phổi - Pneumonia,11-15 tu?i,3
2022-03,2022,3,Mùa khô,Các bệnh viêm phổi - Pneumonia,6-10 tu?i,1
2022-03,2022,3,Mùa khô,Các bệnh viêm phổi - Pneumonia,D??i 1 tu?i,12
2022-03,2022,3,Mùa khô,Cúm - Influenza,1-5 tu?i,8
2022-03,2022,3,Mùa khô,Cúm - Influenza,6-10 tu?i,1
