feature,importance
cat__disease_target_Bệnh khác của bộ máy hô hấp - Other diseases of respiratory system.,2e-06
"cat__disease_target_Viêm tai giữa, bệnh khác của tai giữa và xương chũm - Otitis media and other disorders of middle ear and mastoid",2e-06
"cat__disease_target_Một số biến chứng sớm của chấn thương, của chăm sóc ngoại khoa và y học, chưa xếp ở nơi khác - Certain early complications of trauma and complications of surgical and medical care, not elsewhere classified",2e-06
cat__disease_target_Rối loạn dẫn truyền và loạn nhịp tim - Conduction disorders and cardiac arrhythymias,1e-06
cat__disease_target_Bệnh do tiếp xúc với dịch vụ y tế vì những lý do khác - Person encoutering health services for other reasons,1e-06
cat__disease_target_Bệnh Hodgkin - Hodgkin disease,1e-06
cat__disease_target_Sỏi tiết niệu - Urolithiasis,1e-06
cat__disease_target_Tổn thương khác liên quan đến răng và mô quanh răng - Other disorders of teeth and supporting structures,1e-06
"cat__disease_target_Loạn thần kinh, rối loạn gắn liền với các yếu tố stress và các rối loạn thuộc thân thể - Neurotic, sterss - related and somatoform disorders",1e-06
cat__disease_target_Bệnh Crohn (viêm ruột non từng vùng) và viêm loét đại tràng - Crohn’s disease and ulcerative colitis,1e-06
cat__disease_target_Rối loạn tâm thần và nhân cách khác - Other mental and behavioural disorders,1e-06
cat__disease_target_Các thoát vị khác - Other hernia,1e-06
cat__disease_target_Dị tật bẩm sinh khác của hệ thần kinh - Other congenital malforma,1e-06
cat__disease_target_Bệnh mạch máu não khác - Other cerebrovascular diseases,1e-06
cat__disease_target_Đau nửa đầu và các hội chứng đau đầu khác - Migraine and other headache syndromes.,1e-06
cat__disease_target_Thương tổn do chấn thương các nội tạng khác - Injury of other internal organs,1e-06
cat__disease_target_Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,1e-06
cat__disease_target_Tăng huyết áp nguyên phát - Essential (primary) hypertension,1e-06
"cat__disease_target_Tổn thương thần kinh, rễ và đám rối thần kinh - Nerve, nerve root and plexus disorders",1e-06
cat__disease_target_Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,1e-06
cat__disease_target_Hội chứng viêm thận cấp và tiến triển nhanh - Acute and rapidly prograssive nephritis syndromes,1e-06
cat__disease_target_Tổn thương khác của tuyến giáp - Other disorders of thyroid.,1e-06
cat__disease_target_Thuỷ đậu và zôna - Varicella and Zoster,1e-06
cat__disease_target_Sỏi mật và viêm túi mật - Cholelithiasis and cholecystitis,1e-06
cat__disease_target_Một số rối loạn hệ miễn dịch - Certain disorders involving the immune mechanism,1e-06
cat__disease_target_Suy dinh dưỡng - Malnutrition,1e-06
cat__disease_target_Sốt Rickettsia - Typhus fever,1e-06
"cat__disease_target_U ác limphô khác, cơ quan tạo máu và tổ chức có liên quan - Other malignant neoplasms of lymphoid, haematopoietic and related tissue",1e-06
cat__disease_target_Các dạng lao khác - Other tuberculosis,1e-06
cat__disease_target_Chảy máu não - Intracerebral haemorrhage,1e-06
cat__disease_target_Nhiễm khuẩn đặc hiệu khác thời kỳ chu sinh - Other infectious specific to the perinatal period,1e-06
cat__disease_target_Viêm mi mắt - Inflammation of eyelid,0.0
cat__disease_target_U ác bàng quang - Malignant neoplasm of bladder,0.0
cat__disease_target_Tác hại của các chất có nguồn gốc chủ yếu không phải thuốc - Toxic effects of substances chiefly nonmedical as to source,0.0
cat__disease_target_Sốt không rõ nguyên nhân - Fever of unknown origin,0.0
cat__disease_target_Bệnh khác của bộ máy sinh dục tiết niệu - Other disorders of genitourinary tract,0.0
cat__disease_target_U vú lành - Benign neoplasm of breast,0.0
cat__disease_target_Nhồi máu não - Cerebral infarction,0.0
cat__disease_target_Viêm bàng quang - Cystitis,0.0
cat__disease_target_Ho gà - Whooping cough,0.0
cat__disease_target_Nhiễm độc do tuyến giáp (cường giáp) - Thyrotoxicosis,0.0
cat__disease_target_Dị dạng bẩm sinh hông - Congenital deformities of hip,0.0
cat__disease_target_Chậm phát triển tâm thần - Mental retardation,0.0
cat__disease_target_U ác khác của cơ quan sinh dục nam - Other malignant neoplasms of male genital organs,0.0
cat__disease_target_Tổn thương viêm khác của các cơ quan khung chậu nữ - Other inflamatory diseases of female pelvic organs,0.0
"cat__disease_target_Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",0.0
cat__disease_target_Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses,0.0
cat__disease_target_Tai nạn do các nguyên nhân sức mạnh cơ học và không cố ý - exposure to inanimate mechanical forces,0.0
cat__disease_target_Nhiễm độc thuốc và các sinh phẩm - Poisoning by drugs and biological substances,0.0
cat__disease_target_Các u khác cơ quan tiêu hoá - Other malignant neoplasms of digestive organs,0.0
