disease_target,rows,total_actual_cases,MAE,RMSE,R2
"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",11,1,0.0909,0.3015,-0.1
Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,22,1,0.0455,0.2132,-0.0476
Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones,11,1,0.0909,0.3015,-0.1
Gai đôi cột sống - Spina bifida,33,1,0.0606,0.2462,-1.0625
Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,11,1,0.0909,0.3015,-0.1
Bệnh thoái hoá khớp - Arthrosis,22,1,0.0455,0.2132,-0.0476
"Di chứng, thương tổn do chấn thương, do ngộ độc và hậu quả khác do nguyên nhân bên ngoài - Sequalae of injuries, of poisoning and of other consequences of external causes",44,1,0.0227,0.1508,-0.0233
Viêm mi mắt - Inflammation of eyelid,33,1,0.0303,0.1741,-0.0312
Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis,22,1,0.0455,0.2132,-0.0476
Tự tử - Intentional self-harm,11,1,0.0909,0.3015,-0.1
Sâu răng - Dental caries,11,1,0.0909,0.3015,-0.1
"Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",22,1,0.0455,0.2132,-0.0476
"U ác khí quản, phế quản và phổi - Malignant neoplasms of trachea, bronchus and lung",22,1,0.0455,0.2132,-0.0476
U ác dạ dày - Malignant neoplasm of stomach,22,1,0.0455,0.2132,-0.0476
Thương tổn do chấn thương ở mắt và hốc mắt - Injury of eye and orbit,33,1,0.0303,0.1741,-0.0312
Các bệnh do vi khuẩn khác - Other bacterial diseases,44,1,0.0227,0.1508,-0.0233
Mất thính giác - Hearing loss,22,1,0.0455,0.2132,-0.0476
"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",44,0,0.0227,0.1508,0.0
Dịch hạch - Plague,11,0,0.0,0.0,1.0
Các nhiễm khuẩn do sán lá - Other fluke infections,11,0,0.0,0.0,1.0
Các dạng uốn ván khác - Other tetanus,33,0,0.0,0.0,1.0
Các chấn thương sản khoa - Birth trauma,11,0,0.0,0.0,1.0
Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,11,0,0.0,0.0,1.0
Nghẽn và huyết khối động mạch - Arterial embolism and thrombosis,44,0,0.0,0.0,1.0
Không rõ nhóm bệnh,22,0,0.0,0.0,1.0
Glôcôm - Glaucoma,11,0,0.0,0.0,1.0
Tai nạn giao thông - Transport accidént,22,0,0.0,0.0,1.0
Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use,11,0,0.0,0.0,1.0
Quá sản tuyến tiền liệt - Hyperplasia of prostate,22,0,0.0,0.0,1.0
Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission,11,0,0.0,0.0,1.0
Sán Echinococ - Echinococcosis,11,0,0.0,0.0,1.0
Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders,11,0,0.0909,0.3015,0.0
Tai nạn ngộ độc do các chất độc - Accident poisoning by and exposure to noxious substances,11,0,0.0,0.0,1.0
Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders,22,0,0.0,0.0,1.0
U cơ trơn tử cung - Leiomyoma of uterus,11,0,0.0,0.0,1.0
"U ác chỗ nối trực tràng sigma, trực tràng, hậu môn và ống hậu môn - Malignant neoplasm of rectosigmoid function, rectum, anus and anal canal",33,0,0.0,0.0,1.0
U ác khác cơ quan sinh dục nữ - Malignant neoplasms of female genital organs,33,0,0.0,0.0,1.0
"Viêm giác mạc, tổn thương khác của củng mạc và giác mạc - Keratitis and other disorders of sclera and cornea.",33,0,0.0,0.0,1.0
U ác vú - Malignant neoplasm of breast,11,0,0.0,0.0,1.0
