disease_group_id,disease_group_name,report_group_code,support_level,model_supported,train_support_rows,train_support_case_count,validation_support_rows,validation_support_case_count,validation_recall_top_1,validation_recall_top_5,test_support_rows,test_support_case_count,test_recall_top_1,test_recall_top_5
219,Tổn thương khác của tuyến tiền liệt - Other disorders of prostate,N41-N42,insufficient,False,0,0,0,0,,,2,2,0.0,0.0
220,"Tràn dịch tinh mạc, u nang tinh dịch - Hydrocele and spermatocele",N43,medium,True,472,907,49,55,0.0,0.0,29,32,0.0,0.0
221,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",N47,high,True,757,1108,302,657,0.0,0.3485540334855403,237,357,0.0,0.0896358543417367
222,Bệnh khác của cơ quan sinh dục nam - Other diseases of male genital organs,"N44-N46,N48,N49-N51",medium,True,262,276,78,83,0.0,0.0,76,84,0.0,0.0
223,Tổn thương của vú - Disorders of breast,N60-N64,low,True,12,12,9,9,0.0,0.0,2,2,0.0,0.0
224,Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis,N70,insufficient,True,6,6,1,1,0.0,0.0,1,1,0.0,0.0
226,Tổn thương viêm khác của các cơ quan khung chậu nữ - Other inflamatory diseases of female pelvic organs,"N71,N73-N77",low,True,37,37,16,16,0.0,0.0,15,15,0.0,0.0
229,"Tổn thương không viêm của buồng trứng, vòi fallope và dây chằng rộng - Noinflammatory disorders of ovary, fallopian tube and broad ligament",N83,medium,True,297,333,81,91,0.0,0.16483516483516483,90,102,0.0,0.06862745098039216
230,Rối loạn kinh nguyệt - Disorders of menstruation,N91-N92,insufficient,True,11,11,4,4,0.0,0.0,1,1,0.0,0.0
233,Bệnh khác của bộ máy sinh dục tiết niệu - Other disorders of genitourinary tract,"N82,N84-N90,N93-N94,N96,N98-N99",low,True,70,71,23,25,0.0,0.0,16,16,0.0,0.0
24,Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission,A57-A64,insufficient,True,1,1,0,0,,,0,0,,
242,Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,"O20-O29,O60-O63,O67-O71,O73-O75,O81-O84",insufficient,True,1,1,0,0,,,0,0,,
245,"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",P00-P04,insufficient,True,1,1,0,0,,,1,1,0.0,0.0
246,"Thai chậm phát triển, suy dinh dưỡng, rối loạn gắn liền với thai nghén và cân nặng không đủ khi sinh - Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight",P05-P07,medium,True,116,127,48,54,0.0,0.0,34,36,0.0,0.0
247,Các chấn thương sản khoa - Birth trauma,P10-P15,insufficient,True,1,1,0,0,,,0,0,,
249,Các tổn thương hô hấp đặc hiệu khác của thời kỳ chu sinh - Other respiratory disorders originating in the perinatal period,P22-P28,low,True,10,10,6,6,0.0,0.0,7,7,0.0,0.0
250,Nhiễm khuẩn và kí sinh vật bẩm sinh - Congenital infectious and parasitic diseases,P35-P37,medium,True,304,341,140,168,0.0,0.0,109,136,0.0,0.0
251,Nhiễm khuẩn đặc hiệu khác thời kỳ chu sinh - Other infectious specific to the perinatal period,P38-P39,low,True,50,51,22,23,0.0,0.0,15,15,0.0,0.0
253,Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,"P08,P29,P50-P54,P56-P96",high,True,1187,1833,486,863,0.0,0.2607184241019699,431,725,0.0,0.2772413793103448
254,Gai đôi cột sống - Spina bifida,Q05,low,True,21,21,1,1,0.0,0.0,1,1,0.0,0.0
255,Dị tật bẩm sinh khác của hệ thần kinh - Other congenital malforma,"Q00-Q04,Q06-Q07",low,True,112,113,23,23,0.0,0.0,15,16,0.0,0.0
256,Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,Q20-Q28,high,True,1121,1377,404,521,0.0,0.0,417,531,0.0,0.005649717514124294
257,Sứt môi và hở hàm ếch - Cleft lip and cleft palate,Q35-Q37,medium,True,519,554,146,152,0.0,0.0,87,92,0.0,0.0
258,"Không có, tịt hoặc hẹp ruột non - Absence, atresia and stenosis of small intestine",Q41,insufficient,True,4,4,4,4,0.0,0.0,1,1,0.0,0.0
259,Dị tật bẩm sinh khác của bộ máy sinh dục tiết niệu - Other malformations of the genitourinary system,"Q38-Q40,Q42-Q45",high,True,3056,7524,975,2547,0.00039261876717707107,0.7208480565371025,830,2181,0.04126547455295736,0.597890875745071
260,Tinh hoàn lạc chỗ - Undescended testicle,Q53,high,True,824,1211,259,372,0.0,0.0,202,273,0.0,0.0
261,Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs,"Q50-Q52,Q54-Q64",high,True,1561,2259,409,611,0.0,0.0,367,511,0.0,0.0
262,Dị dạng bẩm sinh hông - Congenital deformities of hip,Q65,low,True,48,49,28,30,0.0,0.0,24,28,0.0,0.0
263,Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,Q66,low,True,47,59,14,16,0.0,0.0,8,8,0.0,0.0
264,Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,Q67-Q79,medium,True,553,602,205,232,0.0,0.0,146,161,0.0,0.0
265,Dị dạng bẩm sinh khác - Other congenital malformations,"Q10-Q18,Q30-Q34,Q80-Q89",high,True,824,941,306,347,0.0,0.0,230,250,0.0,0.0
266,"Dị thường nhiễm sắc thể, chưa xếp ở chỗ khác - Chromosomal abnormalities, not elsewhere sclassified",Q90-Q99,low,True,11,11,6,6,0.0,0.0,4,4,0.0,0.0
267,Đau bụng và khung chậu - Abdominal and pelvic pain,R10,medium,True,368,398,116,120,0.0,0.0,144,158,0.0,0.0
268,Sốt không rõ nguyên nhân - Fever of unknown origin,R50,low,True,38,39,14,14,0.0,0.0,15,16,0.0,0.0
27,Sốt Rickettsia - Typhus fever,A75,low,True,57,57,9,9,0.0,0.0,9,9,0.0,0.0
270,"Các triệu chứng, dấu hiệu và kết quả bất thường về khám lâm sàng và xét nghiệm khác, chưa xếp ở chỗ khác - Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R09,R11-R49,R51-R53,R55-R99",high,True,1967,2509,739,1082,0.0,0.0,776,1132,0.0,0.0
271,Vỡ xương sọ và các xương mặt - Fracture of skull and facial bones,S02,medium,True,323,334,158,162,0.0,0.0,116,121,0.0,0.0
272,"Gãy xương cổ, ngực, khung chậu - Fracture of neck, thorax or pelvis.","S12,S22,S32,T08",insufficient,True,11,11,4,4,0.0,0.0,4,4,0.0,0.0
273,Gãy xương đùi - Fracture of femur,S72,medium,True,326,345,155,168,0.0,0.0,159,168,0.0,0.0
274,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,"S42,S52,S62,S82,S92,T10,T12",high,True,2040,2712,643,871,0.060849598163030996,0.4489092996555683,646,907,0.03307607497243661,0.5446527012127894
276,"Sai khớp, bong gân, tổn thương khu trú và ở nhiều vùng cơ thể - Dislocations, sprains and strains of specified and multiple body regions","S03,S13,S23,S33,S43,S53,S63,S73,S83,S93,T03",low,True,19,19,11,11,0.0,0.0,8,8,0.0,0.0
277,Thương tổn do chấn thương ở mắt và hốc mắt - Injury of eye and orbit,S05,insufficient,True,3,3,1,1,0.0,0.0,1,1,0.0,0.0
278,Thương tổn do chấn thương trong sọ - Intracranial injury,S06,high,True,639,684,244,255,0.0,0.0,251,266,0.0,0.0
279,Thương tổn do chấn thương các nội tạng khác - Injury of other internal organs,"S26-S27,S36-S37",low,True,64,64,16,16,0.0,0.0,14,14,0.0,0.0
280,Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones,"S07-S08,S17-S18,S28,S38,S47-S48,S57-S58,S67-S68,S77-S78,S87-S88,S97-S98,T04-T05",insufficient,False,0,0,1,1,0.0,0.0,0,0,,
281,"Các tổn thương khác do chấn thương xác định và ở nhiều nơi - Other injuries of specified, unspecified and multiple body regions","S00-S01,S04,S09-S11,S14-S16,S19-S21,S24-S25,S29-S31,S34-S35,S39-S41,S44-S46,S49-S51,S54-S56,S59-S61,S64-S66,S69-S71,S74-S76,S79-S81,S84-S86,S89-S91,S94-S96,S99-T01,T06-T07,T09,T13-T14",high,True,1015,1141,338,380,0.0,0.0,324,361,0.0,0.0
282,Hậu quả do dị vật vào hốc tự nhiên - Effects of foreign body entert hrough natural orifice,T15-T19,medium,True,373,382,122,131,0.0,0.0,119,121,0.0,0.0
283,Bỏng và sự ăn mòn - Burnss and corrosions,T20-T32,medium,True,405,429,103,108,0.0,0.0,134,141,0.0,0.0
284,Nhiễm độc thuốc và các sinh phẩm - Poisoning by drugs and biological substances,T36-T50,low,True,23,23,20,21,0.0,0.0,22,23,0.0,0.0
285,Tác hại của các chất có nguồn gốc chủ yếu không phải thuốc - Toxic effects of substances chiefly nonmedical as to source,T51-T65,low,True,36,38,29,29,0.0,0.0,16,16,0.0,0.0
287,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,"T33-T35,T66-T73,T75-T78",medium,True,168,172,74,78,0.0,0.0,71,72,0.0,0.0
