feature,importance
cat__disease_target_Các u khác cơ quan tiêu hoá - Other malignant neoplasms of digestive organs,2.8030479155447884e-07
cat__disease_target_Tổn thương viêm khác của các cơ quan khung chậu nữ - Other inflamatory diseases of female pelvic organs,2.7653792269797505e-07
cat__disease_target_Dị dạng bẩm sinh hông - Congenital deformities of hip,2.6801396208713926e-07
cat__disease_target_Tai nạn ngộ độc do các chất độc - Accident poisoning by and exposure to noxious substances,2.6342974829152223e-07
cat__disease_target_Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,2.5928334504222315e-07
cat__disease_target_Viêm não Virut - Viral encephalitis,2.5588256690690206e-07
cat__disease_target_Biến dạng các chi mắc phải - Accquired deformities of limbs,2.538969619297754e-07
cat__disease_target_U ác khác cơ quan sinh dục nữ - Malignant neoplasms of female genital organs,2.508152871203487e-07
cat__disease_target_Di tật về mật độ và cấu trúc của xương - Disorders of bone density and structure,2.3916589562592784e-07
cat__disease_target_Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,2.3912151587118935e-07
cat__disease_target_Lao bộ máy hô hấp - Respiratory tuberculosis,2.348782554766766e-07
"cat__disease_target_Bệnh khác của hệ xương khớp, cơ và mô liên kết - Other diseases of the musculo-skeletal system and connective tissue",2.3075079540132556e-07
cat__disease_target_Tổn thương của vú - Disorders of breast,2.2560479817908193e-07
cat__disease_target_Nhiễm độc do tuyến giáp (cường giáp) - Thyrotoxicosis,2.1787434762631135e-07
cat__disease_target_Gai đôi cột sống - Spina bifida,2.1202620183407785e-07
cat__disease_target_Tai nạn do tiếp xúc với động vật và cây độc - Contact with venomous animals and plants,2.051308543737915e-07
"cat__disease_target_Viêm phế quản tràn khí và các bệnh phổi tắc nghẽn mạn tính - Bronchitis, emphysema and other chronic obstructive diseases",2.0360934085452278e-07
cat__disease_target_Lác mắt - Strabismus,2.0056129347548138e-07
cat__disease_target_Béo phì - Obesity,1.9758519783114756e-07
cat__disease_target_Suy tim - Heart failure,1.8631937407938554e-07
